epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2189,3.48339,4.62632,3.41217,0.00992,0.24691,0.09319,0.01684,2.45043,3.83226,3.71687,0.0002125,0.0002125,0.0002125
2,37.4171,1.36995,2.86011,2.83262,0.56969,0.50218,0.48158,0.20575,1.29554,2.61623,3.79574,0.000433169,0.000433169,0.000433169
3,45.5936,1.08143,1.83219,2.58315,0.646,0.90554,0.99018,0.53732,1.2775,2.086,3.70533,0.000649382,0.000649382,0.000649382
4,51.2536,0.93522,1.25438,2.60049,0.95126,0.95527,0.99147,0.48222,1.643,1.62922,3.38639,0.000861141,0.000861141,0.000861141
5,56.6001,0.90656,1.00966,2.5321,0.98981,1,0.99153,0.6322,1.22263,0.97252,3.16344,0.00106844,0.00106844,0.00106844
6,62.3291,0.89038,0.85793,2.57741,0.95696,0.96951,0.99116,0.6528,1.28369,1.07909,3.23284,0.00118812,0.00118812,0.00118812
7,67.4942,0.82784,0.78489,2.41903,0.86072,0.99727,0.99081,0.59399,1.42798,1.24945,3.24225,0.00117575,0.00117575,0.00117575
8,72.5161,0.81185,0.72383,2.47741,0.84774,0.99942,0.99213,0.55199,1.66902,1.05555,3.13429,0.00116337,0.00116337,0.00116337
9,77.4949,0.82777,0.72613,2.40059,0.99157,1,0.99091,0.63005,1.33551,0.83929,3.01831,0.001151,0.001151,0.001151
10,82.7779,0.80125,0.67615,2.46788,0.992,1,0.99325,0.62023,1.31,0.92007,2.98515,0.00113863,0.00113863,0.00113863
11,87.8159,0.75793,0.63821,2.41206,0.99254,1,0.99103,0.62445,1.34031,0.8067,2.89656,0.00112625,0.00112625,0.00112625
12,93.2621,0.77274,0.62885,2.36523,0.99188,1,0.99112,0.65579,1.15141,0.82099,2.87316,0.00111388,0.00111388,0.00111388
13,98.2603,0.75704,0.62056,2.3664,0.99177,1,0.99153,0.6129,1.20106,0.90402,2.85972,0.0011015,0.0011015,0.0011015
14,103.284,0.75986,0.59833,2.33321,0.99243,1,0.99228,0.59136,1.48218,0.88118,2.92262,0.00108913,0.00108913,0.00108913
15,108.231,0.74494,0.59043,2.4181,0.99204,1,0.99231,0.59368,1.49975,0.78655,2.86476,0.00107675,0.00107675,0.00107675
16,113.522,0.68633,0.55311,2.36909,0.9923,1,0.99238,0.59737,1.44724,0.90227,2.8258,0.00106437,0.00106437,0.00106437
17,118.407,0.6994,0.54632,2.30586,0.9917,1,0.99281,0.61183,1.42155,0.80554,2.88956,0.001052,0.001052,0.001052
18,123.504,0.68941,0.53283,2.39255,0.9924,1,0.99359,0.61257,1.31716,0.91977,2.83995,0.00103962,0.00103962,0.00103962
19,128.492,0.70011,0.54025,2.38907,0.9922,1,0.99266,0.66444,1.13684,0.81678,2.81251,0.00102725,0.00102725,0.00102725
20,133.799,0.68749,0.52518,2.36966,0.99218,1,0.99253,0.60144,1.37706,0.82864,2.94069,0.00101488,0.00101488,0.00101488
21,139.349,0.68362,0.51978,2.31269,0.99233,1,0.99181,0.66212,1.21836,0.72236,2.94934,0.0010025,0.0010025,0.0010025
22,144.754,0.68246,0.50722,2.36677,0.99256,1,0.99162,0.66243,1.18432,0.75545,2.87131,0.000990125,0.000990125,0.000990125
23,150.157,0.67798,0.50236,2.29205,0.99218,1,0.99256,0.65098,1.26813,0.70016,2.82675,0.00097775,0.00097775,0.00097775
24,155.528,0.66356,0.49855,2.33698,0.99276,1,0.99419,0.63669,1.3415,0.74288,2.7826,0.000965375,0.000965375,0.000965375
25,160.577,0.67518,0.48625,2.22245,0.99262,1,0.99334,0.62823,1.34253,0.85157,2.8307,0.000953,0.000953,0.000953
26,165.578,0.66322,0.48805,2.26848,0.99199,1,0.99309,0.58715,1.41018,0.80311,2.80928,0.000940625,0.000940625,0.000940625
27,170.841,0.68145,0.49523,2.29148,0.99277,1,0.99294,0.59113,1.43077,0.80872,2.7928,0.00092825,0.00092825,0.00092825
28,175.847,0.66919,0.484,2.29172,0.99303,1,0.99391,0.64269,1.30652,0.77674,2.83139,0.000915875,0.000915875,0.000915875
29,180.922,0.66683,0.4896,2.37967,0.993,1,0.99366,0.6235,1.43418,0.69951,2.81818,0.0009035,0.0009035,0.0009035
30,185.943,0.66916,0.48813,2.2816,0.99265,1,0.99094,0.69103,1.19364,0.58476,2.78609,0.000891125,0.000891125,0.000891125
31,190.956,0.66789,0.47627,2.32565,0.99217,1,0.99141,0.65963,1.24174,0.72256,2.77647,0.00087875,0.00087875,0.00087875
32,195.862,0.66945,0.48086,2.27611,0.99286,1,0.99294,0.62649,1.38144,0.73162,2.78458,0.000866375,0.000866375,0.000866375
33,200.802,0.63802,0.45756,2.23258,0.99285,1,0.99319,0.63672,1.34222,0.78805,2.81298,0.000854,0.000854,0.000854
34,205.821,0.64554,0.45484,2.28794,0.99258,1,0.99378,0.65629,1.28439,0.69121,2.82045,0.000841625,0.000841625,0.000841625
35,210.742,0.64101,0.45402,2.2949,0.99248,1,0.99231,0.67459,1.16633,0.65944,2.79902,0.00082925,0.00082925,0.00082925
36,215.697,0.65262,0.45596,2.3036,0.99229,1,0.99153,0.66655,1.23706,0.70176,2.78092,0.000816875,0.000816875,0.000816875
37,220.766,0.66689,0.46064,2.25242,0.99247,1,0.99169,0.63689,1.30009,0.68531,2.782,0.0008045,0.0008045,0.0008045
38,225.644,0.63974,0.45173,2.31541,0.993,1,0.99203,0.57267,1.50148,0.75354,2.86439,0.000792125,0.000792125,0.000792125
39,230.577,0.63682,0.44898,2.26017,0.99268,1,0.99197,0.60561,1.47591,0.81009,2.88566,0.00077975,0.00077975,0.00077975
40,235.561,0.63057,0.43076,2.2701,0.99277,1,0.99209,0.60599,1.36937,0.71807,2.85651,0.000767375,0.000767375,0.000767375
41,240.574,0.64916,0.44233,2.30915,0.99295,1,0.99087,0.64869,1.24709,0.72932,2.83354,0.000755,0.000755,0.000755
42,245.606,0.62989,0.43781,2.23396,0.99285,1,0.99131,0.62276,1.33847,0.72474,2.82823,0.000742625,0.000742625,0.000742625
43,250.667,0.62482,0.43559,2.22917,0.99258,1,0.99144,0.62908,1.30389,0.65881,2.80761,0.00073025,0.00073025,0.00073025
44,255.648,0.64408,0.43531,2.2441,0.99274,1,0.99256,0.63902,1.28026,0.70763,2.88847,0.000717875,0.000717875,0.000717875
45,260.636,0.63312,0.43359,2.29472,0.99299,1,0.99222,0.62444,1.24472,0.67591,2.82023,0.0007055,0.0007055,0.0007055
46,265.766,0.64166,0.43733,2.26584,0.99329,1,0.99166,0.61281,1.38362,0.69215,2.74835,0.000693125,0.000693125,0.000693125
47,270.96,0.64869,0.44,2.23574,0.9921,1,0.99334,0.65508,1.21372,0.71974,2.84728,0.00068075,0.00068075,0.00068075
48,276.217,0.64182,0.43257,2.30127,0.99226,1,0.99309,0.62291,1.30462,0.73498,2.89744,0.000668375,0.000668375,0.000668375
49,281.5,0.62337,0.41727,2.31511,0.99294,1,0.99206,0.61158,1.35673,0.68751,2.72872,0.000656,0.000656,0.000656
50,286.587,0.62769,0.42021,2.22467,0.99316,1,0.99256,0.64492,1.2647,0.63947,2.74591,0.000643625,0.000643625,0.000643625
51,291.617,0.63977,0.42735,2.23091,0.99307,1,0.99231,0.61049,1.36824,0.73812,2.81218,0.00063125,0.00063125,0.00063125
52,296.596,0.61776,0.41552,2.21478,0.99255,1,0.99,0.63347,1.28982,0.76809,2.8378,0.000618875,0.000618875,0.000618875
53,301.587,0.61482,0.41583,2.23462,0.99267,1,0.99209,0.64536,1.23747,0.71913,2.86047,0.0006065,0.0006065,0.0006065
54,306.507,0.63353,0.42614,2.21158,0.99298,1,0.99125,0.66072,1.27779,0.70365,2.87699,0.000594125,0.000594125,0.000594125
55,311.426,0.60918,0.4108,2.24904,0.99312,1,0.9925,0.63009,1.3318,0.70832,2.79004,0.00058175,0.00058175,0.00058175
56,316.458,0.63047,0.42028,2.19526,0.99303,1,0.99231,0.65009,1.25005,0.67121,2.73499,0.000569375,0.000569375,0.000569375
57,321.366,0.62183,0.41892,2.17744,0.99327,1,0.99144,0.644,1.26949,0.75545,2.84961,0.000557,0.000557,0.000557
58,326.348,0.63389,0.41779,2.21519,0.99305,1,0.99231,0.63284,1.29155,0.76679,2.8615,0.000544625,0.000544625,0.000544625
59,331.38,0.59561,0.4033,2.2231,0.99281,1,0.99313,0.63926,1.31557,0.80331,2.77168,0.00053225,0.00053225,0.00053225
60,336.416,0.59859,0.40034,2.1997,0.99327,1,0.99234,0.62633,1.35562,0.78403,2.78381,0.000519875,0.000519875,0.000519875
61,341.356,0.61247,0.4093,2.19662,0.99306,1,0.99162,0.64722,1.27287,0.77949,2.78587,0.0005075,0.0005075,0.0005075
62,346.447,0.59752,0.40856,2.22911,0.99336,1,0.99369,0.63285,1.31898,0.69434,2.8054,0.000495125,0.000495125,0.000495125
63,351.446,0.60709,0.40986,2.2241,0.99311,1,0.99397,0.64478,1.30319,0.69149,2.80465,0.00048275,0.00048275,0.00048275
64,356.387,0.61368,0.40103,2.20315,0.99356,1,0.99406,0.6071,1.37769,0.7826,2.78975,0.000470375,0.000470375,0.000470375
65,361.357,0.61283,0.40439,2.22684,0.99292,1,0.99422,0.62471,1.29613,0.71824,2.77393,0.000458,0.000458,0.000458
66,366.386,0.61126,0.40187,2.16442,0.99298,1,0.99447,0.66348,1.1892,0.64304,2.80122,0.000445625,0.000445625,0.000445625
67,371.517,0.60891,0.40259,2.19248,0.99341,1,0.99391,0.62657,1.36741,0.6619,2.74914,0.00043325,0.00043325,0.00043325
68,376.863,0.60508,0.40431,2.23455,0.99299,1,0.99384,0.64917,1.28995,0.6683,2.7776,0.000420875,0.000420875,0.000420875
69,382.073,0.60213,0.40654,2.15597,0.99306,1,0.99313,0.6545,1.24229,0.63515,2.79247,0.0004085,0.0004085,0.0004085
70,387.364,0.58572,0.38802,2.21018,0.99297,1,0.99341,0.66482,1.19072,0.63165,2.78178,0.000396125,0.000396125,0.000396125
71,392.386,0.60354,0.40158,2.21069,0.9929,1,0.99369,0.63952,1.30942,0.64906,2.81574,0.00038375,0.00038375,0.00038375
72,397.49,0.62044,0.41592,2.12476,0.99277,1,0.99303,0.63874,1.29868,0.69187,2.77779,0.000371375,0.000371375,0.000371375
73,402.537,0.59185,0.39256,2.27961,0.99282,1,0.99275,0.64813,1.29078,0.58719,2.78977,0.000359,0.000359,0.000359
74,407.646,0.60085,0.39329,2.2345,0.99288,1,0.99256,0.64587,1.2995,0.65728,2.79701,0.000346625,0.000346625,0.000346625
75,412.727,0.60817,0.3962,2.22219,0.99281,1,0.99241,0.63849,1.39484,0.68515,2.85383,0.00033425,0.00033425,0.00033425
76,417.746,0.6019,0.39429,2.19036,0.99288,1,0.993,0.65232,1.29453,0.66397,2.76345,0.000321875,0.000321875,0.000321875
77,422.737,0.60997,0.38805,2.1658,0.99289,1,0.99334,0.62712,1.37004,0.71896,2.77709,0.0003095,0.0003095,0.0003095
